,Wavelength,Abs,Abs_standard_deviation
0,349,0,
1,348,0,
2,347,0,
3,346,0,
4,345,0,
5,344,0,
6,343,0,
7,342,0,
8,341,0,
9,340,0,
10,339,0,
11,338,0,
12,337,0,
13,336,0,
14,335,0,
15,334,0,
16,333,0,
17,332,0,
18,331,0,
19,330,0,
20,329,0,
21,328,0,
22,327,0,
23,326,0,
24,325,0,
25,324,0,
26,323,0,
27,322,0,
28,321,0,
29,320,0,
30,319,0,
31,318,0,
32,317,0,
33,316,0,
34,315,0,
35,314,0,
36,313,0,
37,312,0,
38,311,0,
39,310,0,
40,309,0,
41,308,0,
42,307,0,
43,306,0,
44,305,0,
45,304,0,
46,303,0,
47,302,0,
48,301,0,
49,300,0,
50,299,0,
51,298,0,
52,297,0,
53,296,0,
54,295,0,
55,294,0,
56,293,0,
57,292,0,
58,291,0,
59,290,0,
60,289,0,
61,288,0,
62,287,0,
63,286,0,
64,285,0,
65,284,0,
66,283,0,
67,282,0,
68,281,0,
69,280,0,
70,279,0,
71,278,0,
72,277,0,
73,276,0,
74,275,0,
75,274,0,
76,273,0,
77,272,0,
78,271,0,
79,270,0,
80,269,0,
81,268,0,
82,267,0,
83,266,0,
84,265,0,
85,264,0,
86,263,0,
87,262,0,
88,261,0,
89,260,0,
90,259,0,
91,258,0,
92,257,0,
93,256,0,
94,255,0,
95,254,0,
96,253,0,
97,252,0,
98,251,0,
99,250,0,
100,249,0,
101,248,0,
102,247,0,
103,246,0,
104,245,0,
105,244,0,
106,243,0,
107,242,0,
108,241,0,
109,240,0,
110,239,0,
111,238,0,
112,237,0,
113,236,0,
114,235,0,
115,234,0,
116,233,0,
117,232,0,
118,231,0,
119,230,0,
120,229,0,
121,228,0,
122,227,0,
123,226,0,
124,225,0,
125,224,0,
126,223,0,
127,222,0,
128,221,0,
129,220,0,
